Table,Column,Type,Example_Values
tr_database,DATABASE_PUB_DATE,date,"2008-01-01, 2012-01-01, 2014-01-01"
tr_local_veg,ID_LOCAL_VEG,int(11),"228, 229, 230"
tr_local_veg,LOCAL_VEG_DESC,varchar(255),"Abies-concolor-dominated, Acaia grassland, Agricultural"
t_note_age_model,ID_NOTE_AGE_MODEL,int(11),"1, 2, 3"
t_note_age_model,WHO,varchar(50),"PROCESS_IMPORT, 202, 313"
t_note_age_model,WHAT,varchar(100),"GCD_ACCESS, Dates noted below in the table are calibrated C14 dates calibrated using OxCal v.3.9, The age depth model was created in Bacon (Blaauw & Christen, 2011). Dates were calibrated using ShCa"
t_note_age_model,NOTE_DATE,date,"2015-03-19, 2018-02-03, 2018-07-21"
t_note_age_model,ID_AGE_MODEL,int(11),"1, 651, 1215"
tr_ref_biome,ID_REF_BIOME,int(11),"7, 10, 5"
tr_ref_biome,REF_BIOME_NAME,varchar(50),"boreal forest, cushion-forb tundra, desert"
t_affiliation,ID_AFFILIATION,int(11),"1, 2, 3"
t_affiliation,AFFILIATION_NAME,varchar(50),"Alfred Wegener Institute, Arizona State University, Australian National University"
t_affiliation,ADDRESS1,varchar(50),"Dept. of Geography, Department of Geography, Center for Environmental Sciences & Education"
t_affiliation,ADDRESS2,varchar(50),"Utah Museum of Natural History, , Montana State University"
t_affiliation,CITY,varchar(50),", Bozeman, Eugene"
t_affiliation,STATE_PROV,varchar(50),"Montana, Oregon, Utah"
t_affiliation,STATE_PROV_CODE,varchar(50),"97403, 84112, 86001"
t_affiliation,ID_COUNTRY,int(11),"16, 16, 16"
t_affiliation,ID_STATUS,int(11),"0, 0, 0"
t_date_info,ID_DATE_INFO,int(11),"1003, 1029, 1037"
t_date_info,DATE_LAB_NUMBER,varchar(50)," ,  ,   AA-11079"
t_date_info,ID_DATE_TYPE,int(11),"1, 1, 1"
t_date_info,ID_SAMPLE,int(11),"140506, 140507, 140508"
t_date_info,ID_MAT_DATED,int(11),"6, 6, 6"
t_date_info,ID_DATE_COMMENT,int(11),"2, 2, 2"
t_date_info,ID_STATUS,int(11),"0, 0, 0"
r_has_author,ID_CONTACT,int(11),"30, 30, 30"
r_has_author,ID_CHARCOAL,int(11),"58195, 58196, 58197"
t_depth_bck,ID_DEPTH,int(11),"2, 4, 6"
t_depth_bck,DEPTH_VALUE,double,"0.01, 0.0, 0.02"
t_depth_bck,ID_SAMPLE_IF_DEFAULT,int(11),"1, 2, 3"
t_depth_bck,ID_DEPTH_TYPE,int(11),"1, 1, 1"
t_depth_bck,ID_RELATED_SAMPLE,int(11),"1, 1, 2"
tr_core_type,ID_CORE_TYPE,int(11),"1, 2, 3"
tr_core_type,CORE_TYPE_NAME,varchar(50),"Freeze corer, Gravity corer, Percussion corer"
tr_charcoal_units,ID_CHARCOAL_UNITS,int(11),"10, 17, 18"
tr_charcoal_units,CHARCOAL_UNITS_HIGH_LEVEL,varchar(10),"%125, %DWT, %TOF"
tr_charcoal_units,CHARCOAL_UNITS_NAME,varchar(100),"% of charcoal (sieved >125 um), % dry weight, % total organic fraction"
tr_charcoal_units,CHARCOAL_UNITS_NUMBER,int(11),"1, 2, 3"
tr_charcoal_units,CHARCOAL_UNITS_FIRST_LEVEL,varchar(10),"CONC, CONC, CONC"
tr_charcoal_size,ID_CHARCOAL_SIZE,int(11),"1, 2, 3"
tr_charcoal_size,CHARCOAL_SIZE_CODE,varchar(50),"01CM, 01GR, 02CM"
tr_charcoal_size,CHARCOAL_SIZE_DESC,varchar(50),"1.0 cm3, 0.1 gram, 2.0 cm3"
tr_charcoal_size,CONV_COEF_FOR_1CM3,double,"1.0, 0.15, 2.0"
t_date_comments,ID_DATE_COMMENTS,int(11),"1, 2, 3"
t_date_comments,DATE_COMMENTS_CODE,varchar(4),"AGOL, AGTY, COSU"
t_date_comments,DATE_COMMENTS_NAME,varchar(50),"age too old, age too young, contamination suspected"
tr_calibration_method,ID_CALIBRATION_METHOD,int(11),
tr_calibration_method,CALIBRATION_METHOD_TYPE,varchar(50),
tt_site_import,ID_SITE_TEMP,int(11),"1, 2, 3"
tt_site_import,STATUS_TEMP_ID,int(11),"1, 1, 1"
tt_site_import,CHARCOAL_PREF_UNIT_TEMP_ID,int(11),"81, 81, 81"
tt_site_import,DATABASE_VERSION_ID,int(11),"1, 1, 1"
tt_site_import,DATA_SOURCE_ID_TEMP,int(11),"7, 7, 7"
tt_site_import,AGE_MODEL_METH_ID_TEMP,int(11),
tt_site_import,DATING_TYPE_ID_TEMP,int(11),"1, 1, 1"
tt_site_import,WATER_DEPTH_TEMP,double,
tt_site_import,ELEVATION_TEMP,double,
tt_site_import,LATITUDE_TEMP,double,
tt_site_import,LONGITUDE_TEMP,double,
tr_date_type,ID_DATE_TYPE,int(11),"1, 2, 3"
tr_date_type,DATE_TYPE_CODE,varchar(4),"AMBR, AMS0, ANNL"
tr_date_type,DATE_TYPE_NAME,varchar(50),"Ambrosia rise, AMS, Annual laminations"
tr_date_type,DATE_TYPE_NUMBER,int(11),"6, 7, 8"
tr_country,ID_COUNTRY,int(11),"9, 39, 41"
tr_country,COUNTRY_GCD_CODE,varchar(50),", , "
tr_country,COUNTRY_NAME,varchar(50),"American Samoa, Bouvet Island, British Indian Ocean Territory"
tr_country,COUNTRY_ISO_ALPHA2,varchar(2),"GE, AF, "
tr_country,COUNTRY_ISO_ALPHA3,varchar(3),"ASM, BVT, IOT"
tr_country,ID_REGION,int(11),"1, 1, 1"
tr_country,ID_REGION_BIS,int(11),"10, 11, 13"
tr_catch_size,ID_CATCH_SIZE,int(11),"1, 2, 3"
tr_catch_size,CATCH_SIZE_CODE,varchar(50),"LARG, MEDI, NOTA"
tr_catch_size,CATCH_SIZE_NAME,varchar(50),"large (>500 km2), medium (10.1-500 km2), not applicable"
tr_catch_size,CATCH_SIZE_RANGE_MIN,double,"500.0, 10.1"
tr_catch_size,CATCH_SIZE_RANGE_MAX,double,"500.0, 10.0"
tr_regional_veg,ID_REGIONAL_VEG,int(11),"204, 205, 206"
tr_regional_veg,REGIONAL_VEG_DESC,varchar(255),"Abies alba, Fagus sylvatica forest, Abies and fagus woodland, Acacia grassland"
t_notes,ID_NOTES,int(11),"1, 2, 3"
t_notes,ID_CORE,int(11),"7, 15, 17"
t_notes,WHAT,varchar(300),"author (mp), C. Long, NAPD 1"
t_notes,WHO,varchar(50),"GCD_ACCESS, GCD_ACCESS, GCD_ACCESS"
t_notes,NOTES_DATE,date,"2014-01-01, 2014-01-01, 2014-01-01"
r_situated_in_region,id_country,int(11),"9, 39, 41"
r_situated_in_region,id_region,int(11),"1, 1, 1"
r_has_estimated_age,EST_AGE_CAL_BP,double,"46.36, 92.54, 138.55"
r_has_estimated_age,EST_AGE_POSITIVE_ERROR,double,
r_has_estimated_age,EST_AGE_NEGATIVE_ERROR,double,
r_has_estimated_age,ID_SAMPLE,int(11),"1, 2, 3"
r_has_estimated_age,ID_AGE_MODEL,int(11),"1, 1, 1"
r_has_estimated_age,ID_Depth,int(11),"1, 3, 5"
tr_mat_dated,ID_MAT_DATED,int(11),"1, 2, 3"
tr_mat_dated,MAT_DATED_STANDARD_LEVEL,varchar(4),"ARCH, BONE, BUCA"
tr_mat_dated,MAT_DATED_TYPE,varchar(50),"archaeological artifact, bone, bulk sediment, calcareous lake deposits"
tr_mat_dated,MAT_DATED_HIGH_LEVEL,varchar(4),"ARCH, BONE, BULK"
t_pub,ID_PUB,int(11),"1, 2, 3"
t_pub,PUB_CITATION,text,"Millspaugh, S.H., Whitlock, C., and Bartlein, P.J. 2000. Variations in fire frequency and climate over the last 17,000 years in central Yellowstone National Park.  Geology 28: 211-214., Long, C.J., and Whitlock, C. 2002. Late Holocene fire and vegetation history from the Picea sitchensis forest of the Oregon Coast Range.  Quaternary Research 58: 215-225., Brunelle, A., and Whitlock, C. 2003. Holocene vegetation, fire, and climate history from the Selway Mountains, Idaho.  Quaternary Research 60: 307-318."
t_pub,PUB_LINK,varchar(255),"http://onlinelibrary.wiley.com/doi/full/10.1111/jbi.13922, https://doi.org/10.3390/fire4020017,  https://doi.org/10.1111/jbi.14057"
t_pub,GCD_ACCESS_ID,int(11),"1, 2, 3"
t_pub,ID_DOI,varchar(100)," DOI: 10.1016/j.quaint.2015.08.027, 10.1002/jqs.2692, 10.1002/jqs.2790"
t_pub,ID_STATUS,int(11),"0, 0, 0"
r_has_pub,ID_PUB,int(11),"9, 9, 9"
r_has_pub,ID_CHARCOAL,int(11),"669, 670, 671"
tr_biome_type,ID_BIOME_TYPE,int(11),"1, 2, 3"
tr_biome_type,BIOME_TYPE_CODE,varchar(10),"-9, -9999, 1"
tr_biome_type,BIOME_TYPE_NAME,varchar(80),"marine, not known, tropical evergreen broadleaf"
tr_biome_type,ID_REF_BIOME,int(11),
t_contact,ID_CONTACT,int(11),"0, 19, 33"
t_contact,EMAIL,varchar(50),"1004249435@qq.com, 1147996685@qq.com, 1436052438@qq.com"
t_contact,LASTNAME,varchar(50),"Song,  ye, Chen"
t_contact,FIRSTNAME,varchar(50),"Jing,  zhang, Xiaojun"
t_contact,PHONE,varchar(50),"UNKNOWN, , 8"
t_contact,ID_AFFILIATION,int(11),"1, 1, 1"
t_contact,ID_STATUS,int(11),"0, 0, 0"
tr_charcoal_method,ID_CHARCOAL_METHOD,int(11),"1, 2, 3"
tr_charcoal_method,CHARCOAL_METHOD_CODE,varchar(50),"ACID, CPRO, GRAV"
tr_charcoal_method,CHARCOAL_METHOD_NAME,varchar(50),"Acidification of sample using gas chromatography t, Cumulative probability (95% confidence interval) a, GRAVIMETRIC chemical assay (Winkler method)"
tr_charcoal_method,CHARCOAL_METHOD_NUMBER,varchar(50),"5, 6, 7"
tr_region,ID_REGION,int(11),"1, 2, 3"
tr_region,REGION_GCD_CODE,varchar(50),"AFC, AFE, AFN"
tr_region,REGION_NAME,varchar(80),"Central Africa, Eastern Africa, Northern Africa"
tr_region,MARINE_REGION,tinyint(1),"0, 0, 0"
tr_age_model_method,ID_AGE_MODEL_METHOD,int(11),"1, 2, 9"
tr_age_model_method,AGE_MODEL_METHOD_CODE,varchar(4),"AUTH, DCAL, DIGI"
tr_age_model_method,AGE_MODEL_METHOD_TYPE,varchar(80),"age model created by author(s)/contributor(s), Direct calib from 14C ages to calib  (s.d. +/-100), digitized"
r_has_charcoal_quantity,QUANTITY,double,"43.0, 57.4, 54.8"
r_has_charcoal_quantity,ID_CHARCOAL,int(11),"122255, 122256, 122257"
r_has_charcoal_quantity,ID_CHARCOAL_UNITS,int(11),"1, 1, 1"
r_site_is_referenced,ID_PUB,int(11),"1, 11, 3"
r_site_is_referenced,ID_SITE,int(11),"1, 1, 3"
r_has_date_comments,ID_DATE_INFO,int(11),"1, 2, 3"
r_has_date_comments,ID_DATE_COMMENTS,int(11),"2, 2, 2"
tr_basin_size,ID_BASIN_SIZE,int(11),"1, 2, 3"
tr_basin_size,BASIN_SIZE_CODE,varchar(50),"LARG, MEDI, NOTA"
tr_basin_size,BASIN_SIZE_DESC,varchar(50),"large (50.1-500 km2), medium (1.1-50 km2), not applicable"
tr_basin_size,BASIN_SIZE_RANGE_MIN,double,"50.1, 1.1, 0.01"
tr_basin_size,BASIN_SIZE_RANGE_MAX,double,"500.0, 50.0, 1.0"
t_depth,ID_DEPTH,int(11),"2, 4, 6"
t_depth,DEPTH_VALUE,double,"0.01, 0.0, 0.02"
t_depth,ID_SAMPLE_IF_DEFAULT,int(11),"1, 2, 3"
t_depth,ID_DEPTH_TYPE,int(11),"1, 1, 1"
t_depth,ID_RELATED_SAMPLE,int(11),"1, 1, 2"
t_site,ID_SITE,int(11),"1105, 1, 2"
t_site,GCD_ACCESS_ID,int(11),"1, 2, 3"
t_site,SITE_NAME,varchar(50)," Lake Glukhoe,  Lake Skånsø,  Sjuodjijaure Lake"
t_site,ID_SITE_TYPE,int(11),"1, 1, 1"
t_site,ID_BIOME_TYPE,int(11),"1, 1, 1"
t_site,ID_MARINE_REGION,int(11),"14, 14, 14"
t_site,ID_COUNTRY,int(11),"1, 6, 9"
t_site,ID_BASIN_SIZE,int(11),"1, 1, 1"
t_site,BASIN_SIZE_VALUE,double,"0.0, -9999.0, -9999.0"
t_site,ID_FLOW_TYPE,int(11),"1, 1, 1"
t_site,ID_CATCH_SIZE,int(11),"1, 1, 1"
t_site,CATCH_SIZE_VALUE,double,"0.0, -9999.0, -9999.0"
t_site,ID_LANDS_DESC,int(11),"1, 1, 1"
t_site,ID_REGIONAL_VEG,int(11),"1, 1, 2"
t_site,ID_LOCAL_VEG,int(11),"1, 2, 3"
t_site,ID_STATUS,int(11),"0, 1, 1"
tr_lands_desc,ID_LANDS_DESC,int(11),"21, 20, 17"
tr_lands_desc,LANDS_DESC_CODE,varchar(50),"BARA, COPL, DIUP"
tr_lands_desc,LANDS_DESC_NAME,varchar(50),"Afromontane forest, alluvial plain, Interdunal lake fed by river and aquifer"
tr_calibration_version,ID_CALIBRATION_VERSION,int(11),
tr_calibration_version,CALIBRATION_CURVE_VERSION,varchar(50),
t_age_model,ID_AGE_MODEL,int(11),"142, 221, 264"
t_age_model,AGE_MODEL_VERSION,varchar(50),"1.0, age_model_ Lake Skånsø_core1, age_model_ PTHE"
t_age_model,ID_AGE_MODEL_METHOD,int(11),"1, 1, 1"
t_age_model,ID_CONTACT,int(11),"0, 0, 0"
t_age_model,ID_CORE,int(11),"1, 2, 3"
t_age_model,ID_STATUS,int(11),"0, 0, 0"
t_core,ID_CORE,int(11),"1, 2, 3"
t_core,CORE_NAME,varchar(50)," Lake Skånsø_core1,  PTHE,  Sjuodjijaure Lake_core1"
t_core,LATITUDE,double,"44.66, 44.91, 45.7"
t_core,LONGITUDE,double,"-110.61, -110.34, -114.98"
t_core,ELEVATION,double,"2530.0, 1884.0, 2250.0"
t_core,WATER_DEPTH,double,"-9999.0, -9999.0, 5.5"
t_core,CORING_DATE,date,"1995-07-01, 2006-06-01, 1987-05-01"
t_core,ID_SITE,int(11),"1, 2, 3"
t_core,ID_DEPO_CONTEXT,int(11),"1, 2, 2"
t_core,ID_AFFILIATION,int(11),
t_core,ID_CORE_TYPE,int(11),"2, 2, 2"
t_core,ID_STATUS,int(11),"1, 1, 1"
t_charcoal,ID_CHARCOAL,int(11),"1, 69315, 2"
t_charcoal,ID_SAMPLE,int(11),"1, 1, 2"
t_charcoal,ID_CHARCOAL_UNITS,int(11),"1, 1, 1"
t_charcoal,ID_CONTACT,int(11),"1, 1, 2"
t_charcoal,ID_LATEST_CONTACT,int(11),"166, 62, 166"
t_charcoal,ID_CHARCOAL_METHOD,int(11),"1, 1, 1"
t_charcoal,ID_STATUS,int(11),"1, 1, 1"
t_charcoal,ID_DATA_SOURCE,int(11),"1, 1, 1"
t_charcoal,ID_DATABASE,int(11),"1, 1, 1"
t_charcoal,ID_CHARCOAL_SIZE,int(11),"1, 1, 1"
t_charcoal,CHARCOAL_SIZE_VALUE,double,"1.0, 1.0, 1.0"
t_charcoal,CREATION_DATE,datetime,"2018-02-03 15:47:23, 2018-02-03 15:47:23, 2018-02-03 15:47:24"
t_charcoal,UPDATE_DATE,datetime,"2018-02-02 20:51:18, 2018-02-05 04:06:04, 2018-02-03 15:47:23"
tr_site_type,ID_SITE_TYPE,int(11),"52, 53, 54"
tr_site_type,SITE_TYPE_LEVEL,varchar(4),"CEST, COAS, CSLT"
tr_site_type,SITE_TYPE_DESC,varchar(80),"Cave (dry), Peat, Swamp"
tr_site_type,SITE_TYPE_HIGH_LEVEL,varchar(4),"COAS, COAS, COAS"
tt_sample_import,ID_SAMPLE_TEMP,int(11),"1, 2, 3"
tt_sample_import,AUTHOR_TEMP_ID,int(11),"111, 111, 111"
tt_sample_import,CONTRIBUTOR_TEMP_ID,int(11),"2, 2, 2"
t_sample,ID_SAMPLE,int(11),"1, 2, 3"
t_sample,SAMPLE_NAME,varchar(50)," PTHE_10.5,  PTHE_11.5,  PTHE_12.5"
t_sample,ID_CORE,int(11),"1, 1, 1"
t_sample,ID_AGE_MODEL,int(11),"1, 1, 1"
t_sample,GCD_ACCESS_ID,int(11),"1, 22, 23"
t_sample,ID_STATUS,int(11),"0, 0, 0"
